addressableName,deviceName
variableSpeedMeter2,luxmeter2
variableSpeedMeter3,luxmeter3
variableSpeedMeter4,luxmeter4
variableSpeedMeter5,luxmeter5
variableSpeedMeter6,luxmeter6
variableSpeedMeter7,luxmeter7
variableSpeedMeter8,luxmeter8
variableSpeedMeter9,luxmeter9
variableSpeedMeter10,luxmeter10
variableSpeedMeter11,luxmeter11
variableSpeedMeter12,luxmeter12
variableSpeedMeter13,luxmeter13
variableSpeedMeter14,luxmeter14
variableSpeedMeter15,luxmeter15
variableSpeedMeter16,luxmeter16
variableSpeedMeter17,luxmeter17
variableSpeedMeter18,luxmeter18
variableSpeedMeter19,luxmeter19
variableSpeedMeter20,luxmeter20
variableSpeedMeter21,luxmeter21
variableSpeedMeter22,luxmeter22
variableSpeedMeter23,luxmeter23
variableSpeedMeter24,luxmeter24
variableSpeedMeter25,luxmeter25
variableSpeedMeter26,luxmeter26
variableSpeedMeter27,luxmeter27
variableSpeedMeter28,luxmeter28
variableSpeedMeter29,luxmeter29
variableSpeedMeter30,luxmeter30
variableSpeedMeter31,luxmeter31
variableSpeedMeter32,luxmeter32
variableSpeedMeter33,luxmeter33
variableSpeedMeter34,luxmeter34
variableSpeedMeter35,luxmeter35
variableSpeedMeter36,luxmeter36
variableSpeedMeter37,luxmeter37
variableSpeedMeter38,luxmeter38
variableSpeedMeter39,luxmeter39
variableSpeedMeter40,luxmeter40
variableSpeedMeter41,luxmeter41
variableSpeedMeter42,luxmeter42
variableSpeedMeter43,luxmeter43
variableSpeedMeter44,luxmeter44
variableSpeedMeter45,luxmeter45
variableSpeedMeter46,luxmeter46
variableSpeedMeter47,luxmeter47
variableSpeedMeter48,luxmeter48
variableSpeedMeter49,luxmeter49
variableSpeedMeter50,luxmeter50
variableSpeedMeter51,luxmeter51
